first_name,last_name,email,phone,city,country,company,pin,job_title,salary,joining_date
Michelle,Rogers,sarah12@example.com,9469519496649,Lake Stephaniemouth,Martinique,Briggs Ltd,97688,Patent examiner,49938,1989-08-13
Matthew,Scott,joneslindsey@example.com,8234943323808,Cynthiashire,Albania,Bishop-Yates,97703,Community education officer,82365,2021-05-10
Susan,Zhang,debra87@example.com,6806039541412,Robertmouth,Reunion,"Turner, Blair and Baker",1014,"Journalist, newspaper",86114,1984-10-28
Sarah,Dalton,nicholsdarrell@example.com,3926692572081,South Michelle,Grenada,Stark Ltd,31804,Geographical information systems officer,34772,2010-11-17
James,Maddox,tparks@example.net,8452158805616,Michellehaven,Croatia,Mann-Mcbride,47857,"Teacher, English as a foreign language",84966,2010-02-28
Todd,Morse,george69@example.com,6310532774297,Port Jillian,United States Virgin Islands,"Wilson, Shannon and Watson",28244,Art therapist,27578,2020-11-11
Geoffrey,Orozco,wstanton@example.net,7521764283321,Melissaview,Philippines,Brown-Mosley,20544,Publishing copy,80385,2019-05-10
Alfred,Clark,ljackson@example.net,9850561488926,North William,Belgium,Davidson-Phillips,71952,"Scientist, research (physical sciences)",31363,2013-03-30
Maria,Simmons,joseph40@example.com,1027637810926,Jeannechester,Samoa,"Rodriguez, Ross and Kidd",23109,Surgeon,32337,2013-02-28
Gregory,Monroe,angelasmith@example.net,5397364301250,South Jeffrey,Bolivia,Bean-Scott,29612,Records manager,9774,1986-01-15
Aaron,Valdez,wweiss@example.net,1647591035231,Amandafort,Northern Mariana Islands,Morgan Inc,50249,Professor Emeritus,87301,2003-12-10
Abigail,Love,careylisa@example.net,4706868482742,South Samanthafort,Luxembourg,"Harmon, Mayo and Thomas",51101,Actor,33047,1993-10-30
Amanda,Roberts,romerolawrence@example.com,1289785598282,Lake Jeffery,France,"Taylor, Rush and Barnes",70543,Secretary/administrator,30256,1988-04-23
Matthew,Fox,ebonyshort@example.org,4489933175946,East Dana,Timor-Leste,Jenkins-Phillips,98218,Paediatric nurse,89944,1970-02-14
Walter,Williams,hardyjoseph@example.org,4492422617743,Brownfurt,Somalia,"Beasley, Sullivan and Cowan",47646,Environmental education officer,62169,1976-04-07
Larry,Collins,millerlisa@example.org,1645238175211,Lake Arielshire,Sweden,"Scott, Moore and Johnson",89156,Food technologist,75903,1986-03-25
