first_name,last_name,email,phone,city,country,company,job_title,salary,joining_date
Richard,Warner,ewilliams@example.org,6501075738391,West Valerie,South Africa,Tate-Knight,Secretary/administrator,26495,1990-09-20
David,Gardner,ydean@example.org,3582090599281,Hansenburgh,Lebanon,"White, Reyes and Richardson",Futures trader,5213,1970-09-01
Krystal,Murphy,heather37@example.com,7340360017267,Littleborough,Luxembourg,"Haley, Lang and Johnson",Equities trader,34080,2019-06-13
Nicholas,Salas,brownlarry@example.com,9623037576297,North Robertmouth,Aruba,Mason-Peters,"Therapist, music",82650,2007-02-17
Jeffrey,Villanueva,williamscassandra@example.net,9510212068432,Kayleemouth,Bulgaria,Nelson-Reeves,"Conservation officer, historic buildings",11333,1993-11-02
Jeremy,Herman,rebeccawoods@example.net,2546544337329,Huynhville,Bhutan,Espinoza PLC,Insurance claims handler,30927,2006-05-29
Becky,Mills,ajackson@example.org,6974350885036,North Melissa,Poland,Rubio Inc,"Administrator, Civil Service",50298,2008-05-02
Michael,Flores,angelajordan@example.org,9819056244609,Smithmouth,Congo,Adams Inc,"Psychologist, occupational",24364,2002-05-12
David,Lawrence,jennifer44@example.com,8400330838271,Huffmanfort,Niue,"Richards, Rivera and Hill",Press sub,10843,2021-03-17
Dawn,Perez,april09@example.org,1519542915898,Simsfort,Montenegro,Rodriguez Ltd,"Surveyor, building control",52565,2014-08-15
Tiffany,Young,davisbrooke@example.com,4696643983377,East Matthew,Sao Tome and Principe,"Craig, Richard and Dean",Commercial art gallery manager,49697,1976-07-05
Rodney,Gonzales,doughertyvickie@example.org,1261137216977,East Julie,Mozambique,Lee PLC,Psychiatrist,97716,1975-11-06
Zachary,Edwards,abigail68@example.net,6526279060123,New Nicolefort,Korea,Mclean-Daniels,"Lecturer, higher education",25323,1985-08-27
Zachary,Dixon,allenbrian@example.org,0450513730703,East Olivia,Bouvet Island (Bouvetoya),Aguirre Ltd,Multimedia programmer,6102,1970-03-01
Nathaniel,Walker,allenvanessa@example.com,1817008566927,Toddside,Palau,Goodwin PLC,"Scientist, research (life sciences)",55492,2021-10-08
