customer_id,first_name,last_name,email,phone_number,account_number,account_type,branch_name,city,country,balance
856884,Lindsay,Thompson,rflores@example.org,2078104821289,DYAO87149220770785,Salary,North Erikchester Branch,East Brian,Norfolk Island,829042
193190,Melissa,Davis,gregory19@example.net,2636719356152,LKPF61985327259179,Current,Port Lance Branch,Fernandezhaven,Macao,450223
431959,Ashley,Chung,harrisariel@example.net,5143502554434,DOLG16658750577819,Savings,North Jackieside Branch,Port Christinafort,North Macedonia,182708
772662,James,Wilson,monica70@example.org,7104999744720,AEGB11941628049026,Salary,Paulfort Branch,East Lawrenceberg,North Macedonia,703743
445413,Katherine,Rogers,dcarlson@example.com,6754183994892,SDHD35022050670144,Salary,New Andreaport Branch,Robertport,New Zealand,816227
977415,Miranda,Dawson,angelahartman@example.org,0663243716694,HNBY25309811818394,Current,North Robert Branch,Douglasfort,Guernsey,420919
807264,Jason,Beltran,umoore@example.org,1165993955425,CQJN41805645631761,Savings,East Lauren Branch,Pruitthaven,Gabon,904732
883185,Amy,Cook,lindseyamber@example.org,4413425690974,PPNU72101892300782,Savings,Lake Judithberg Branch,Daleborough,Zimbabwe,138303
131324,Logan,Woods,kenneth66@example.com,3584067665716,ITKX75693320542871,Salary,Toddland Branch,Beltranstad,Northern Mariana Islands,496625
117808,Debbie,Murray,schultzcody@example.net,8586894060676,ZDPO22714707119599,Salary,North Terrymouth Branch,Lake Alyssamouth,Equatorial Guinea,798613
