customer_id,full_name,email,phone,pan_no,aadhar_no,account_no,ifsc_code,balance
CUST11632354,Aayush Ahuja,gaganlalla@example.net,+91-9791950926,FBLNC1556K,7662-2774-8635,SB-9947-2548-6926,AXIS8327658,77608.45
CUST22546658,Oliver Nath,spandit@example.com,+91-9013434400,UXTTF3820L,3136-2958-3640,SB-6596-4652-4129,AXIS5609801,243062.51
CUST21692098,Tanveer Kar,traju@example.org,+91-7230929775,CYGIZ7237R,9378-2181-9569,SB-2896-7755-3883,KOTAK6214950,356693.43
CUST48700520,Deepa Wali,arattan@example.net,+91-7462264853,GYUAZ0062N,1400-9659-1538,SB-7785-7615-8664,ICIC9514201,449332.81
CUST27768360,Gaurav Luthra,csethi@example.org,+91-9676414015,LWJXS0028S,2640-1574-5940,SB-7268-4039-9628,ICIC2696756,369356.5
CUST23496572,Mitali Raja,timothy03@example.org,+91-9590685167,PNPVN3496L,7630-9935-7820,SB-7876-7486-3366,ICIC4683348,118085.11
CUST42409271,Onkar Deshmukh,fchacko@example.com,+91-7438477070,PJUTA2893U,6106-8923-7521,SB-6354-3764-4406,HDFC5612242,117586.32
CUST32858772,Fariq Rattan,nnadig@example.com,+91-8603386486,AHVHB0627W,7734-5741-5796,SB-6958-3530-3869,KOTAK8173073,116328.7
CUST67981257,Faris Ganguly,rachit09@example.com,+91-7898617934,GKBLX5936T,5494-9768-2448,SB-8940-4848-6924,KOTAK2748536,274843.98
CUST30676430,Nitara Morar,aryanwalia@example.net,+91-8330541561,IQETJ4439J,2129-1462-3214,SB-1060-7208-3786,ICIC6572635,187940.21
CUST62842406,Noah Batta,basunetra@example.com,+91-9133286965,YBLVF0769Z,6470-4785-8098,SB-6741-4289-5203,SBIN5235385,210879.6
CUST26811831,Suhani Naik,meera07@example.org,+91-7162438001,HUNVZ7756A,1402-9175-3714,SB-1225-3823-5531,SBIN1092522,350475.3
CUST36496414,Pushti Venkataraman,senfalan@example.org,+91-7563349395,PCHPH4172H,1868-9395-6310,SB-9218-6513-2073,ICIC1138164,346342.39
CUST57825514,Ansh Atwal,tdey@example.com,+91-9179701508,DRHZG0323U,5980-6647-3194,SB-8944-8451-4360,SBIN2970474,478807.18
CUST68522325,Geetika Varma,ntoor@example.com,+91-8739474950,AOZFN2634T,2993-3738-9810,SB-2920-1514-7976,KOTAK3323383,435757.74
CUST63550791,Leena Nayar,zehaananand@example.com,+91-9024913399,IRNMA9981Z,3646-6384-6386,SB-7006-2061-5829,KOTAK5740610,105682.38
CUST16096378,Ekantika Sehgal,balhaarvala@example.org,+91-7283440582,ZRKKD5595D,7152-1290-5471,SB-2986-7275-4061,AXIS2994004,200582.71
CUST32735074,Samarth Bhakta,nayakhema@example.org,+91-9022541884,JZCGP5688M,6253-5390-1690,SB-5135-4872-3223,SBIN7282097,277042.55
CUST54736359,Caleb Chada,nathanielaurora@example.com,+91-9059758352,KQPIG7241E,7284-2051-6342,SB-3000-4594-5948,HDFC8789336,77284.25
CUST16965964,Jasmit Mahal,watikamallick@example.net,+91-7917629655,SDVBB6957A,7861-7125-3951,SB-8363-9622-5616,SBIN1042882,443648.0
CUST32080222,Jack Mani,bedifinn@example.org,+91-8329710163,KECPV1193X,8673-6259-4968,SB-9972-2653-4588,AXIS8674675,87599.61
CUST70952714,George Kadakia,danielgera@example.org,+91-7335208061,VVCNN6780X,1113-9480-4905,SB-1333-7385-8921,KOTAK7528663,18578.84
CUST46451702,Yash Sarkar,mnarayan@example.net,+91-8986968896,YIIMH2177E,1679-2713-4095,SB-1188-7818-8993,HDFC8191827,327579.32
CUST10517268,Laksh Ben,baniktripti@example.org,+91-7527643604,APHYW7345B,2458-6273-9364,SB-8928-4607-6663,SBIN5258422,132266.24
CUST16707154,Faris Raj,wasonbrijesh@example.com,+91-7877911221,XUYAF5482V,1596-6849-3993,SB-7494-6988-2902,SBIN1547730,457450.14
CUST67541248,Sneha Hans,dhruvsem@example.net,+91-7577956542,FJTZS3947J,6327-4904-2603,SB-4716-2742-1525,AXIS7390069,156535.74
CUST54085674,Kala Garde,vsankaran@example.org,+91-8065025472,AHKNN5371F,5298-9909-8655,SB-3910-2709-3564,KOTAK7923722,142374.54
CUST39441207,Udarsh Kumer,krisha23@example.com,+91-9978448756,UOCAE6370G,1294-6213-4191,SB-7554-2176-2207,SBIN7919514,462193.32
CUST98960489,Zehaan Muni,arunima30@example.net,+91-9793801161,YHATO3263C,9045-1702-1368,SB-4196-4272-1581,AXIS1586319,247121.02
