customer_id,full_name,email,phone,pan_no,aadhar_no,gender,kyc_status,dob
CUST@@##$$,R@j3sh 123,wrongemail,ABCDEFGHIJ,AAAAA0000A,ABCD-EFGH-IJKL,INVALID,INVALID,
,R@j3sh 123,wrongemail,ABCDEFGHIJ,1234567890,ABCD-EFGH-IJKL,,WrongOption,
,R@j3sh 123,user@@mail.com,123,,ABCD-EFGH-IJKL,,,2026-13-45
CUST@@##$$,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,user@@mail.com,ABCDEFGHIJ,,ABCD-EFGH-IJKL,,WrongOption,9999-99-99
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,@nodomain.com,123,AAAAA0000A,,,WrongOption,
CUST@@##$$,,@nodomain.com,,AAAAA0000A,0000-0000-0000,,,
CUST00000000,,wrongemail,ABCDEFGHIJ,,0000-0000-0000,INVALID,INVALID,not-a-date
,,@nodomain.com,ABCDEFGHIJ,1234567890,0000-0000-0000,,,
,R@j3sh 123,,123,PAN@#123,,,WrongOption,9999-99-99
CUST00000000,,user@@mail.com,+91-0000000000,,,,WrongOption,
CUST00000000,,user@@mail.com,ABCDEFGHIJ,1234567890,0000-0000-0000,INVALID,INVALID,
,!@#$%^,user@@mail.com,+91-0000000000,1234567890,0000-0000-0000,WrongOption,WrongOption,2026-13-45
,,user@@mail.com,+91-0000000000,AAAAA0000A,1234-5678,,WrongOption,
,R@j3sh 123,wrongemail,123,PAN@#123,,WrongOption,,9999-99-99
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,+91-0000000000,,0000-0000-0000,,WrongOption,not-a-date
CUST00000000,,user@@mail.com,123,,0000-0000-0000,INVALID,WrongOption,not-a-date
CUST@@##$$,R@j3sh 123,user@@mail.com,,AAAAA0000A,ABCD-EFGH-IJKL,,,
CUST@@##$$,,wrongemail,,AAAAA0000A,ABCD-EFGH-IJKL,INVALID,INVALID,9999-99-99
CUST00000000,,user@@mail.com,ABCDEFGHIJ,,,,,2026-13-45
,,user@@mail.com,123,1234567890,ABCD-EFGH-IJKL,INVALID,,not-a-date
CUST00000000,!@#$%^,user@@mail.com,,1234567890,0000-0000-0000,,WrongOption,
CUST@@##$$,,,+91-0000000000,1234567890,1234-5678,,WrongOption,
,R@j3sh 123,@nodomain.com,+91-0000000000,AAAAA0000A,1234-5678,,,9999-99-99
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,@nodomain.com,,AAAAA0000A,1234-5678,INVALID,,not-a-date
,,@nodomain.com,,PAN@#123,ABCD-EFGH-IJKL,INVALID,,not-a-date
CUST@@##$$,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,1234567890,0000-0000-0000,,,
CUST@@##$$,R@j3sh 123,user@@mail.com,ABCDEFGHIJ,PAN@#123,,,INVALID,9999-99-99
