customer_id,full_name,email,phone,pan_no,aadhar_no,account_no,ifsc_code,balance,cibil_score,txn_id,txn_amount,txn_type,kyc_status,loan_status
CUST99496492,Kashish Bassi,zaid27@example.org,+91-7648521949,GDFZM6832H,8614-7399-9733,SB-3130-9466-8997,HDFC2113129,329382.7,745,TXN2026031216092031,8741.0,RTGS,Pending,Rejected
CUST16677211,Peter Gandhi,patlaaarini@example.com,+91-9949393191,MIRVX5653J,3557-8748-9500,SB-6142-5574-6422,AXIS6276487,84281.72,789,TXN2026031216092085,79525.6,UPI,Rejected,Rejected
CUST60301550,Harish Agarwal,bavaupkaar@example.net,+91-9175604017,NPYGE8405U,9741-3446-6920,SB-9685-7883-3219,SBIN1209685,178823.8,825,TXN2026031216092025,50242.4,NEFT,Verified,Active
CUST59206167,Vedant Sachdev,niteshbutala@example.net,+91-8070574168,UISDQ7508M,4261-3907-2178,SB-1280-6689-9326,ICIC5975958,191732.49,815,TXN2026031216092028,66689.69,UPI,Pending,Active
CUST44876998,Pranav Bumb,urishillakaran@example.com,+91-9744758780,RUFBY9714T,4406-5627-4127,SB-2235-6651-1907,AXIS9716612,444612.91,835,TXN2026031216092072,197876.13,RTGS,Verified,Rejected
CUST67699160,Unnati Nayak,dpai@example.com,+91-9857900920,WAAVH3776P,7784-9424-3181,SB-3650-9440-6915,HDFC7346937,483681.08,788,TXN2026031216092048,73187.18,NEFT,Verified,NPA
CUST35029867,Harini Rattan,mjhaveri@example.net,+91-8358988553,TZFXD6988W,1948-5384-7560,SB-3402-6169-6760,KOTAK6295067,102058.91,798,TXN2026031216092023,55106.89,UPI,Rejected,NPA
CUST95923047,Wakeeta Pingle,kashyaptanish@example.org,+91-7158967628,VYQCK2217I,6971-4817-9031,SB-6819-3858-6820,KOTAK8802554,456411.08,770,TXN2026031216092069,8131.03,RTGS,Pending,Active
CUST21439677,Sachi Pradhan,gloyal@example.net,+91-8787435489,UAGWE3123X,9972-4618-3519,SB-4770-6486-1891,AXIS7767793,301342.98,713,TXN2026031216092010,55864.98,UPI,Pending,Closed
CUST39070569,Raksha Golla,rachitabhalla@example.org,+91-7652861322,USCPS9350B,2639-4391-8269,SB-2912-8685-3245,ICIC3375080,138322.61,794,TXN2026031216092096,66538.63,IMPS,Rejected,NPA
CUST92525787,Rajata Sanghvi,ksaha@example.net,+91-8239922467,LDBPC4748E,8721-3606-6436,SB-5948-6465-8880,AXIS2564082,388825.29,861,TXN2026031216092076,54223.59,NEFT,Verified,Rejected
CUST31258312,Udant Kadakia,krishna62@example.org,+91-8296243032,MSFMS2043Y,6193-3782-1660,SB-6492-8035-8254,KOTAK1777021,299825.72,754,TXN2026031216092013,123099.65,UPI,Pending,Rejected
CUST61709923,Banjeet Ramachandran,yugsidhu@example.net,+91-8535283168,LVNJJ9326I,3409-3030-9391,SB-8844-9102-1379,KOTAK2319438,185387.86,778,TXN2026031216092077,158836.71,UPI,Pending,NPA
CUST90314237,Avi Issac,boasedaksha@example.com,+91-7594037689,IYCAQ4687V,1982-3680-9783,SB-1513-4522-1093,AXIS1040350,147086.78,775,TXN2026031216092010,15883.75,IMPS,Verified,Closed
CUST15630957,Geetika Hans,murtyqasim@example.net,+91-8546765214,SOGGC2477Z,7887-2832-1107,SB-2973-3187-9416,HDFC1073961,422527.88,885,TXN2026031216092076,137531.98,UPI,Verified,NPA
CUST74892820,Urmi Mukhopadhyay,dnagarajan@example.com,+91-7498127796,POXAW4883Z,7319-4891-1901,SB-3745-5274-9693,HDFC4377351,244415.78,723,TXN2026031216092097,169349.71,UPI,Pending,Closed
CUST97608046,Upasna Naidu,ekapadpingle@example.com,+91-9475152520,CWXRA9251A,8718-5346-5912,SB-5171-4703-9510,SBIN5583603,458291.57,783,TXN2026031216092015,110905.14,NEFT,Rejected,Rejected
CUST87024596,Jagat Bora,sarafvedant@example.com,+91-7547508020,TYHXO3307Y,4844-5223-9651,SB-9706-5402-7677,ICIC3437427,488532.63,746,TXN2026031216092086,48299.65,UPI,Pending,NPA
CUST83243420,Bhavini Keer,bhaktarachita@example.com,+91-8554325175,UGIHS7645Z,3856-6258-8215,SB-7142-2409-7245,ICIC4098390,265772.47,851,TXN2026031216092085,116089.33,NEFT,Pending,Active
CUST33395287,Krisha Kari,hemal45@example.org,+91-9117293458,CYEWG6086Y,2764-5495-5929,SB-5349-4300-4241,SBIN9229059,300971.76,898,TXN2026031216092044,114340.64,RTGS,Rejected,Rejected
CUST46564631,Warjas Walla,urishilla55@example.org,+91-7388357171,GFYQO7381C,3417-4193-6971,SB-1112-8178-2234,HDFC5911957,384231.29,708,TXN2026031216092030,58032.19,UPI,Rejected,Rejected
CUST78279686,Aishani Jha,udey@example.org,+91-9223215419,CZWZT9069C,1461-3730-4673,SB-5866-7583-9314,AXIS8137005,156426.8,719,TXN2026031216092034,11121.27,NEFT,Pending,Closed
CUST43733972,Nathaniel Cherian,lucky54@example.net,+91-9503157879,NATJL6384Q,8439-1626-3423,SB-9888-5447-5069,HDFC7845126,481306.37,738,TXN2026031216092082,178463.51,UPI,Rejected,Rejected
CUST86772655,Kamala Som,kabirpai@example.net,+91-9024841090,SYYJV6140U,5118-4824-4074,SB-2112-8206-6017,HDFC3224455,51852.67,720,TXN2026031216092028,12929.24,NEFT,Rejected,Active
CUST57507666,Avni Karpe,riya22@example.net,+91-7830591295,SLPCO5737H,6020-7592-7604,SB-3098-8340-1484,KOTAK2786157,128685.21,706,TXN2026031216092095,2532.58,UPI,Pending,Closed
CUST50449653,Oeshi Ratti,zcomar@example.org,+91-8646620255,NHPOE5541Y,1423-7532-2253,SB-6112-5855-6903,SBIN7764594,181365.12,761,TXN2026031216092055,39541.64,NEFT,Pending,Rejected
CUST67633265,Bhavini Master,niharika19@example.com,+91-8986231497,AXZBG1562U,1139-8444-7661,SB-9532-2351-8324,SBIN9404206,456435.94,809,TXN2026031216092098,145684.68,RTGS,Verified,Active
CUST68517842,Nimrat Tak,thakerbalhaar@example.com,+91-9098929911,YCKBT9375P,3706-7859-5901,SB-3460-4457-6240,HDFC4138337,70988.78,714,TXN2026031216092089,50417.55,NEFT,Verified,Active
CUST79478266,Isaac Sarraf,jbuch@example.org,+91-7239776424,HMVXP4762Y,9029-3947-6895,SB-1149-3525-9646,AXIS9983512,299414.42,758,TXN2026031216092065,155977.09,UPI,Verified,Closed
CUST84942575,Christopher Manda,damini78@example.net,+91-7385083797,TYRLR4218A,9593-8098-1248,SB-2078-6206-2731,SBIN6038960,433081.57,804,TXN2026031216092095,190320.32,RTGS,Verified,Rejected
CUST85215408,Aahana More,jnaidu@example.org,+91-8536476281,RUMSD6712M,8411-5819-8870,SB-8669-9885-1380,AXIS1149322,267938.14,754,TXN2026031216092043,25722.14,NEFT,Verified,NPA
CUST64393503,Upkaar Dasgupta,eesha19@example.com,+91-8688019394,XXNQD1031N,3641-5859-1529,SB-3601-9755-5178,ICIC4314745,254071.45,825,TXN2026031216092093,197679.08,IMPS,Pending,Rejected
CUST18020442,Kabir Borah,gsankaran@example.net,+91-7466272449,TVJTT4911H,5329-7670-2059,SB-7173-3466-1796,ICIC1472063,94404.88,736,TXN2026031216092020,60835.16,RTGS,Pending,Closed
CUST23203257,Aishani Soman,gsinghal@example.org,+91-9606533672,UYWZA0789H,3914-3217-4972,SB-9573-5817-3867,KOTAK9679729,28170.21,775,TXN2026031216092092,139087.11,NEFT,Rejected,Closed
CUST67347294,Krisha Shankar,lajitamerchant@example.com,+91-9346451366,OXJSY3369L,4624-6772-6102,SB-9764-4121-5887,SBIN6848969,453957.75,731,TXN2026031216092083,65451.62,UPI,Rejected,Active
CUST18724673,Nilima Rama,sarabhatt@example.net,+91-9746686434,FGBRD4231Z,1657-9838-1676,SB-3148-9217-9180,SBIN8828619,285287.06,738,TXN2026031216092052,131020.81,NEFT,Rejected,NPA
CUST36050503,Abha Chander,lavanya13@example.net,+91-8483908812,EIONV4211N,8384-9084-9822,SB-2585-3386-8367,AXIS7394839,481000.0,781,TXN2026031216092083,45990.44,UPI,Verified,Closed
CUST21704718,Hemani Majumdar,ndhaliwal@example.org,+91-9223100453,OYOGN8526W,8000-1926-3210,SB-6763-4913-1858,ICIC3119462,329601.01,875,TXN2026031216092013,146892.72,NEFT,Rejected,NPA
CUST94646587,Isaac Om,bhavanibarman@example.net,+91-7719065582,GFWEG2567B,7857-2484-7296,SB-9894-1953-7344,ICIC6785313,250416.55,712,TXN2026031216092093,127782.35,IMPS,Pending,Rejected
CUST94786086,Garima Murty,binapillay@example.net,+91-9924129340,CDWWN3526B,9482-4136-9317,SB-4901-7059-9740,AXIS8288436,391894.75,845,TXN2026031216092048,76986.99,IMPS,Verified,Active
CUST93533771,Jeevika Bains,mitaliramachandran@example.net,+91-7158057576,CVDZS6350F,5958-3187-5829,SB-2231-6818-6052,AXIS2862332,151546.12,871,TXN2026031216092046,26011.82,IMPS,Pending,NPA
CUST38409812,Balhaar Sampath,parmeraarav@example.org,+91-9070175169,YMCMO5672B,5117-7310-1830,SB-8289-7994-6920,HDFC8358823,378586.11,863,TXN2026031216092079,52454.55,NEFT,Verified,NPA
CUST72350371,Ishani Sundaram,nagarlaban@example.com,+91-7295547246,FGCDU2910W,4459-1456-3456,SB-6254-7376-4005,SBIN1259905,393926.11,899,TXN2026031216092084,53259.97,RTGS,Verified,Active
CUST13592962,Matthew Chatterjee,alka55@example.com,+91-7250613687,GKRWH4735P,9040-7092-2313,SB-9822-4153-4760,AXIS2662463,85814.32,806,TXN2026031216092075,180596.72,NEFT,Pending,Active
CUST24904640,Sanya Kaul,samaksh30@example.net,+91-7984186097,DCXHI2474D,4434-5297-9804,SB-4319-7131-9823,SBIN3938630,204326.75,826,TXN2026031216092024,171861.76,IMPS,Pending,Active
CUST90623742,Nihal Grewal,priya18@example.org,+91-7039045757,GUFTI2406O,2983-1712-6490,SB-6132-4423-7717,HDFC2860745,484837.42,825,TXN2026031216092074,93351.63,IMPS,Verified,NPA
CUST69813030,Naksh Dada,treddy@example.org,+91-8505479795,CICEG2022U,5247-1056-6963,SB-4476-1724-8851,HDFC1664994,367766.15,787,TXN2026031216092084,76460.17,IMPS,Verified,Rejected
CUST10549584,Wridesh Chaudhari,rshah@example.net,+91-9656371150,VTOMP3403I,8328-5282-8972,SB-7205-4917-6765,KOTAK6656138,79426.71,750,TXN2026031216092084,175658.72,RTGS,Verified,Rejected
CUST31312620,Anvi Saha,hemalpau@example.com,+91-7921173594,HJAZQ6275G,1090-2606-8647,SB-1210-2795-5262,HDFC1328963,164675.36,799,TXN2026031216092026,75890.98,IMPS,Verified,Active
CUST16227902,Wazir Setty,manbir97@example.org,+91-9495973663,BAGEW5877S,8874-8863-5698,SB-7083-4736-6719,KOTAK6104598,131745.61,715,TXN2026031216092075,102249.63,IMPS,Verified,Active
CUST51556663,Advaith Ray,bansalbaghyawati@example.com,+91-9754567117,SIUON5431K,4052-1162-7642,SB-4611-5541-5196,ICIC7501631,257744.87,714,TXN2026031216092058,2770.54,NEFT,Pending,NPA
CUST44112137,Ria Panchal,birishaan@example.com,+91-9481107580,IDYQW0270E,1620-8910-6768,SB-4993-4243-2982,SBIN6742379,245472.13,818,TXN2026031216092010,56089.82,UPI,Pending,Closed
CUST39039527,Diya Chatterjee,onveervarty@example.net,+91-7926054041,OELDA0179O,1744-9220-3116,SB-4225-5138-9538,ICIC8130439,449259.73,779,TXN2026031216092094,185889.71,IMPS,Rejected,Closed
