customer_id,full_name,email,phone,pan_no,aadhar_no,account_no,ifsc_code,balance,cibil_score
CUST90130730,Abhimanyu Iyengar,tristansathe@example.net,+91-7048408800,MDNSX5581O,9534-2164-3725,SB-5946-2851-4540,ICIC5422357,450115.65,775
CUST91613518,Imaran Narayanan,xjohal@example.net,+91-8810396901,RJOUK9315S,3560-9981-7586,SB-7902-3894-3256,KOTAK9061397,367167.77,877
CUST86953618,Garima Basu,omyaprashad@example.org,+91-7539440045,JVKVU3609A,8062-5940-3845,SB-2215-5101-4997,ICIC8727235,371951.16,821
CUST21776756,Orinder Murty,opingle@example.org,+91-9071374579,GKPHS7565M,2876-1909-4683,SB-7569-2871-9189,SBIN1669340,457504.13,895
CUST11933227,Chanakya Parmar,orai@example.com,+91-8650337375,WSHKB0988S,4548-5441-4811,SB-3102-4538-8312,HDFC5302506,133549.34,843
CUST28675036,Kamala Bhalla,wparekh@example.net,+91-8150321368,CUHZI9908V,3564-3333-6338,SB-7591-5184-1509,ICIC3504317,425785.12,864
CUST47869501,Victor Jain,anvirajagopalan@example.com,+91-8850051403,IPRTC0474K,4242-3297-4720,SB-9922-5559-1744,ICIC6798287,194179.74,765
CUST22331735,Gautam Hari,robert70@example.net,+91-9623143456,MMJLL0332P,1520-3855-8372,SB-7090-7479-4542,KOTAK1256024,211846.85,872
CUST65759399,Nicholas Sachdeva,dsama@example.org,+91-7818440888,WLQAA5303X,5452-7034-1381,SB-9326-6487-3624,KOTAK6581038,352604.79,800
CUST67311032,Gabriel Dixit,vviswanathan@example.net,+91-8062312634,SOLFH2037F,9652-1369-2337,SB-3233-8714-6550,HDFC3295780,332188.94,714
CUST64983217,Faraj D’Alia,chatura21@example.com,+91-9887807860,KMYTP4380I,2397-6008-3598,SB-5968-8837-7368,SBIN9339018,154206.13,849
CUST71747655,Warhi Lanka,mitalibava@example.org,+91-7954384916,RJZTR1377P,9029-1471-3503,SB-5820-8842-8699,AXIS5610449,161199.06,735
CUST91125857,Unnati Krishnamurthy,katarajata@example.org,+91-7125697252,HYKJO1474Q,9833-8344-7412,SB-5965-4364-5078,KOTAK8360737,97641.51,708
CUST28624764,Jatin Narasimhan,fbhat@example.org,+91-9932588252,JZFCB3265O,2517-5340-3333,SB-2630-5972-2858,HDFC5902195,359033.93,853
CUST66704957,Harsh Vasa,ovenkataraman@example.org,+91-8035771083,BOHOB1563F,1538-8768-4670,SB-5131-1115-4712,KOTAK2781439,456632.31,770
CUST76000509,Chasmum Morar,raghavbaral@example.org,+91-7749089206,NNOSY4273E,6867-6029-4776,SB-2732-4656-4921,AXIS4712749,95984.23,787
CUST43142293,Devansh Biswas,manthan53@example.org,+91-7842769949,AKVWA6155U,9578-8646-9598,SB-6062-5739-7917,SBIN9248158,304214.77,783
CUST66424206,Jagvi Kara,zray@example.com,+91-7834185526,FITTV9727P,6873-3357-8116,SB-3853-3852-7656,HDFC8066899,213296.72,747
CUST62790818,Niharika Pall,bhasinsanya@example.org,+91-8113401374,XYUUO2608U,2735-2631-5728,SB-9220-5769-2301,HDFC6404359,467077.79,850
CUST48454885,Guneet Chaudry,charanbalay@example.net,+91-7852390874,UXJZR7089N,1966-1607-3743,SB-8271-8403-2778,ICIC5100792,243123.68,702
CUST62943364,Yachana Bora,kamble@example.org,+91-7060326897,BDLFB0570A,7931-9415-2695,SB-4088-2586-6289,SBIN7826791,472426.07,857
CUST88311794,Balvan Venkataraman,dhriti47@example.com,+91-8994479137,NCABF9061T,3918-7435-1809,SB-8846-8183-1363,KOTAK6476815,426024.38,733
CUST84033664,Chasmum Borde,ambleeesha@example.net,+91-7106614297,GGPER2671J,1899-1995-4188,SB-2317-9522-4722,ICIC1793702,107916.97,818
CUST56839617,Maya Prashad,bishakhavarkey@example.org,+91-9776048305,UFWZX8485C,8574-6279-9720,SB-3362-7481-1865,HDFC5826134,291243.62,832
CUST43354756,Nathan Garg,dakshmenon@example.com,+91-7238521340,JEAMC1733C,1419-3726-4694,SB-9181-2274-1728,ICIC1066879,49378.61,804
CUST51764326,Vamakshi Goswami,dalallajita@example.net,+91-9786693844,PGPCL8162L,6018-5114-3162,SB-1877-3289-7550,SBIN6648261,168750.61,724
CUST98962847,Zayyan Hegde,oliverperi@example.com,+91-9859791999,QZTOY3085I,2929-1509-3417,SB-4708-8793-4563,HDFC8343062,135707.71,846
CUST12199655,Dayamai Parekh,sagarjagdish@example.net,+91-9960908909,ZFEZH4500U,5632-3074-7692,SB-7013-4415-6451,KOTAK7570172,361401.81,797
CUST10670156,Akshay Tandon,chandaluke@example.org,+91-7657716091,IKKVW5169C,8558-6634-1294,SB-2609-7135-9239,ICIC1458164,354700.54,823
CUST28553290,Fiyaz Karan,hamsini64@example.net,+91-9059642014,GWYKE9397H,5722-2965-1008,SB-1290-2239-3982,KOTAK7677867,265683.95,858
CUST66879390,Girik Barad,oliverpadmanabhan@example.net,+91-8524460313,BCDJW3063F,2375-3804-8872,SB-7436-1594-7033,SBIN9714375,221057.4,819
CUST72948739,Nirja Sanghvi,kotavamakshi@example.net,+91-7505229144,CBAEJ5712T,6535-3412-2272,SB-3755-5147-6310,HDFC3178811,455500.83,860
CUST15798502,Caleb Dave,megha95@example.com,+91-7053002573,PNWYU4134I,5327-7320-6008,SB-5581-2832-4206,SBIN3691044,391821.37,705
CUST34959050,Bhavya Mohanty,chanatriveni@example.net,+91-9636496785,KVKFJ9730C,5225-1238-9822,SB-4607-8770-9897,AXIS8243250,266314.58,722
CUST34602340,Atharv Ghosh,ishanikari@example.org,+91-9888556559,BVBFL4532J,1851-5100-7893,SB-5416-2676-5969,ICIC9757759,150681.58,777
CUST38518755,Falguni Chopra,patrickkeer@example.net,+91-7524686251,VAFZE8247L,2822-9948-5195,SB-6119-8127-8431,ICIC2349008,183802.18,706
CUST19953740,Pallavi Sura,gbhat@example.org,+91-8589650395,FRXME7273O,6858-7669-3859,SB-6265-6050-9189,HDFC4230326,63445.9,792
CUST31983029,Forum Pingle,mallickyashodhara@example.com,+91-9299407550,CBNPS5883D,8961-3025-6826,SB-1549-9654-1366,SBIN4834501,62609.84,804
CUST29903154,Ekbal Saxena,varughesejagvi@example.org,+91-7220668407,LDUZN3304B,7896-6998-5747,SB-1920-9545-8082,AXIS7330409,476577.05,764
CUST47894183,Isaiah Bhasin,nikitasur@example.net,+91-7232097509,XVQEI9772X,9979-3931-4727,SB-8976-6462-4202,AXIS7055907,481264.85,742
CUST46000263,Andrew Maharaj,dharucchal@example.com,+91-8294217367,AYZMK2849Z,5834-4765-8219,SB-9036-6455-7343,AXIS2891483,463763.43,725
CUST20615394,Omya Suri,pahalseth@example.net,+91-7575089583,DUHTE6332Q,1683-2368-7576,SB-7651-4494-7037,SBIN5347794,428717.65,756
CUST63582063,Triya Shah,eta52@example.org,+91-9658232122,BQUZT1353T,1739-3352-4546,SB-3772-4822-2280,KOTAK1000093,109273.75,723
